FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,470,0.0099,,530,0.0047,,660,0.0063,,700,0.0071,,759.8001,0.0054,,860,0.0043
,470.1,0.013,,530.2,0.0086,,660.1,0.0071,,700.1,0.0055,,760.0001,0.0063,,860.25,0.0028
,470.2,0.0086,,530.4,0.0092,,660.2,0.0089,,700.2,0.0067,,760.2001,0.0041,,860.5,-0.0015
,470.3,0.009,,530.6,0.0075,,660.3,0.0075,,700.3,0.0091,,760.4001,0.0068,,860.75,0.0042
,470.4,0.0087,,530.8,0.0092,,660.4,0.0081,,700.4,0.0089,,760.6001,0.0064,,861,0.0021
,470.5,0.0082,,531,0.0093,,660.5,0.0081,,700.5,0.0098,,760.8001,0.0069,,861.25,0.0027
,470.6,0.0086,,531.2,0.0099,,660.6,0.0079,,700.6,0.0101,,761.0001,0.0075,,861.5,0.0033
,470.7,0.0088,,531.4,0.0108,,660.7,0.0082,,700.7,0.0101,,761.2001,0.0077,,861.75,0.0028
,470.8,0.0092,,531.6,0.0114,,660.8,0.0083,,700.8,0.0103,,761.4001,0.0081,,862,0.003
,470.9,0.0098,,531.8,0.0123,,660.9,0.0086,,700.9,0.0104,,761.6001,0.0084,,862.25,0.0029
,471,0.0104,,532,0.0131,,661,0.0089,,701,0.0105,,761.8001,0.0087,,862.5,0.0027
,471.1,0.011,,532.2,0.0139,,661.1,0.0092,,701.1,0.0106,,762.0001,0.009,,862.75,0.0027
,471.2,0.0116,,532.4,0.0149,,661.2,0.0095,,701.2,0.0107,,762.2001,0.0092,,863,0.0026
,471.3,0.0122,,532.6,0.0159,,661.3,0.0098,,701.3,0.0109,,762.4001,0.0095,,863.25,0.0026
,471.4,0.0128,,532.8,0.0171,,661.4,0.0101,,701.4,0.0111,,762.6001,0.0099,,863.5,0.0026
,471.5,0.0133,,533,0.0185,,661.5,0.0103,,701.5,0.0113,,762.8001,0.0102,,863.75,0.0027
,471.6,0.0138,,533.2,0.02,,661.6,0.0104,,701.6,0.0116,,763.0001,0.0106,,864,0.0029
,471.7,0.0143,,533.4,0.0216,,661.7,0.0106,,701.7,0.0119,,763.2001,0.011,,864.25,0.0032
,471.8,0.0147,,533.6,0.0233,,661.8,0.0108,,701.8,0.0122,,763.4001,0.0115,,864.5,0.0036
,471.9,0.0151,,533.8,0.0251,,661.9,0.011,,701.9,0.0126,,763.6001,0.0119,,864.75,0.0041
,472,0.0155,,534,0.027,,662,0.0113,,702,0.0129,,763.8,0.0124,,865,0.0047
,472.1,0.0159,,534.2,0.0289,,662.1,0.0117,,702.1,0.0133,,764.0001,0.0129,,865.25,0.0054
,472.2,0.0163,,534.4,0.0309,,662.2,0.0121,,702.2,0.0138,,764.2001,0.0134,,865.5,0.0062
,472.3,0.0167,,534.6,0.033,,662.3,0.0126,,702.3,0.0142,,764.4001,0.014,,865.75,0.007
