name= 150902_2028_R015_T016.sig,,,,,name= 150902_2028_R015_T017.sig,,,,,name= 150902_2029_R015_T018.sig,,,,,name= 150902_2029_R015_T019.sig,,,,,
instrument= HI: 9122002 (HR-1024i),,,,,instrument= HI: 9122002 (HR-1024i),,,,,instrument= HI: 9122002 (HR-1024i),,,,,instrument= HI: 9122002 (HR-1024i),,,,,
integration= 10.0  4.0  4.0  1000.0  40.0  4.0,,,,,integration= 10.0  4.0  4.0  1000.0  40.0  4.0,,,,,integration= 10.0  4.0  4.0  1000.0  40.0  4.0,,,,,integration= 10.0  4.0  4.0  1000.0  40.0  4.0,,,,,
scan method= Time-based  Time-based,,,,,scan method= Time-based  Time-based,,,,,scan method= Time-based  Time-based,,,,,scan method= Time-based  Time-based,,,,,
scan coadds= 300  444  444  3  70  444,,,,,scan coadds= 300  444  444  3  70  444,,,,,scan coadds= 300  444  444  3  70  444,,,,,scan coadds= 300  444  444  3  70  444,,,,,
scan time= 3  3,,,,,scan time= 3  3,,,,,scan time= 3  3,,,,,scan time= 3  3,,,,,
scan settings= AI  AI,,,,,scan settings= AI  AI,,,,,scan settings= AI  AI,,,,,scan settings= AI  AI,,,,,
external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= FIBER1(2)  FIBER1(2),,,,,optic= FIBER1(2)  FIBER1(2),,,,,optic= FIBER1(2)  FIBER1(2),,,,,optic= FIBER1(2)  FIBER1(2),,,,,
temp= 33.3  -4.6  -10.3  33.5  -4.6  -10.3,,,,,temp= 33.3  -4.6  -10.3  33.5  -4.7  -10.3,,,,,temp= 33.3  -4.6  -10.3  33.5  -4.6  -10.3,,,,,temp= 33.3  -4.6  -10.3  33.7  -4.6  -10.3,,,,,
battery= 7.78  7.78,,,,,battery= 7.78  7.77,,,,,battery= 7.78  7.76,,,,,battery= 7.78  7.76,,,,,
error= 6  0,,,,,error= 6  0,,,,,error= 6  1,,,,,error= 6  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 9/2/2015 8:27:06 PM  9/2/2015 8:28:07 PM,,,,,time= 9/2/2015 8:27:06 PM  9/2/2015 8:28:39 PM,,,,,time= 9/2/2015 8:27:06 PM  9/2/2015 8:29:04 PM,,,,,time= 9/2/2015 8:27:06 PM  9/2/2015 8:29:28 PM,,,,,
longitude=                                   ,,,,,longitude=                                   ,,,,,longitude=                                   ,,,,,longitude=                                   ,,,,,
latitude=                                   ,,,,,latitude=                                   ,,,,,latitude=                                   ,,,,,latitude=                                   ,,,,,
gpstime=                                   ,,,,,gpstime=                                   ,,,,,gpstime=                                   ,,,,,gpstime=                                   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 15  16,,,,,memory slot= 15  17,,,,,memory slot= 15  18,,,,,memory slot= 15  19,,,,,
factors= 1.037  1.021  1.000 [Overlap: Remove @ 980 1903  Matching Type: Radiance @ 964 - 1000 / NIR-SWIR On],,,,,factors= 1.037  1.022  1.000 [Overlap: Remove @ 980 1903  Matching Type: Radiance @ 964 - 1000 / NIR-SWIR On],,,,,factors= 1.037  1.022  1.000 [Overlap: Remove @ 980 1903  Matching Type: Radiance @ 964 - 1000 / NIR-SWIR On],,,,,factors= 1.037  1.009  1.000 [Overlap: Remove @ 980 1903  Matching Type: Radiance @ 964 - 1000 / NIR-SWIR On],,,,,
,,,,,,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: 150902_2028_R015_T016.sig:150902_2028_R015_T017.sig:150902_2029_R015_T018.sig:150902_2029_R015_T019.sig
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
334.3,9399.81,75.20,0.80,,334.3,9399.81,94.00,1.00,,334.3,9399.81,97.13,1.03,,334.3,9399.81,106.54,1.13,,334.3,9399.81,93.22,0.99,,
335.8,10146.37,81.83,0.81,,335.8,10146.37,117.84,1.16,,335.8,10146.37,127.66,1.26,,335.8,10146.37,62.19,0.61,,335.8,10146.37,97.38,0.96,,
337.3,10241.26,78.52,0.77,,337.3,10241.26,75.11,0.73,,337.3,10241.26,75.11,0.73,,337.3,10241.26,122.92,1.20,,337.3,10241.26,87.92,0.86,,
338.8,11004.79,116.94,1.06,,338.8,11004.79,113.50,1.03,,338.8,11004.79,134.14,1.22,,338.8,11004.79,68.80,0.63,,338.8,11004.79,108.35,0.98,,
340.3,11433.28,95.91,0.84,,340.3,11433.28,62.71,0.55,,340.3,11433.28,118.04,1.03,,340.3,11433.28,143.88,1.26,,340.3,11433.28,105.14,0.92,,
341.8,11788.79,140.73,1.19,,341.8,11788.79,140.73,1.19,,341.8,11788.79,171.16,1.45,,341.8,11788.79,95.10,0.81,,341.8,11788.79,136.93,1.16,,
343.3,12131.41,117.55,0.97,,343.3,12131.41,94.80,0.78,,343.3,12131.41,106.17,0.88,,343.3,12131.41,144.12,1.19,,343.3,12131.41,115.66,0.95,,
344.8,12473.32,162.57,1.30,,344.8,12473.32,151.23,1.21,,344.8,12473.32,170.13,1.36,,344.8,12473.32,75.63,0.61,,344.8,12473.32,139.89,1.12,,
346.3,12437.79,109.33,0.88,,346.3,12437.79,109.33,0.88,,346.3,12437.79,128.18,1.03,,346.3,12437.79,124.44,1.00,,346.3,12437.79,117.82,0.95,,
347.8,12781.43,146.12,1.14,,347.8,12781.43,153.42,1.20,,347.8,12781.43,171.69,1.34,,347.8,12781.43,102.31,0.80,,347.8,12781.43,143.39,1.12,,
349.3,13122.63,117.08,0.89,,349.3,13122.63,95.79,0.73,,349.3,13122.63,117.08,0.89,,349.3,13122.63,145.50,1.11,,349.3,13122.63,118.86,0.91,,
350.8,14017.74,147.24,1.05,,350.8,14017.74,147.24,1.05,,350.8,14017.74,161.26,1.15,,350.8,14017.74,154.30,1.10,,350.8,14017.74,152.51,1.09,,
352.3,15075.51,130.25,0.86,,352.3,15075.51,126.82,0.84,,352.3,15075.51,167.95,1.11,,352.3,15075.51,154.29,1.02,,352.3,15075.51,144.83,0.96,,
353.8,15775.90,174.27,1.10,,353.8,15775.90,131.52,0.83,,353.8,15775.90,220.30,1.40,,353.8,15775.90,167.75,1.06,,353.8,15775.90,173.46,1.10,,
355.3,16811.41,152.02,0.90,,355.3,16811.41,171.42,1.02,,355.3,16811.41,194.07,1.15,,355.3,16811.41,171.49,1.02,,355.3,16811.41,172.25,1.02,,
356.8,17168.32,198.89,1.16,,356.8,17168.32,159.71,0.93,,356.8,17168.32,210.94,1.23,,356.8,17168.32,168.82,0.98,,356.8,17168.32,184.59,1.08,,
358.2,19047.39,155.39,0.82,,358.2,19047.39,193.50,1.02,,358.2,19047.39,222.82,1.17,,358.2,19047.39,184.79,0.97,,358.2,19047.39,189.13,0.99,,
359.7,19648.21,226.63,1.15,,359.7,19648.21,166.55,0.85,,359.7,19648.21,234.82,1.20,,359.7,19648.21,183.02,0.93,,359.7,19648.21,202.76,1.03,,
361.2,20641.41,180.06,0.87,,361.2,20641.41,188.00,0.91,,361.2,20641.41,267.44,1.30,,361.2,20641.41,185.44,0.90,,361.2,20641.41,205.24,0.99,,
362.7,20798.92,232.60,1.12,,362.7,20798.92,203.22,0.98,,362.7,20798.92,247.29,1.19,,362.7,20798.92,205.77,0.99,,362.7,20798.92,222.22,1.07,,
364.2,22760.40,201.38,0.88,,364.2,22760.40,230.14,1.01,,364.2,22760.40,306.86,1.35,,364.2,22760.40,223.07,0.98,,364.2,22760.40,240.36,1.06,,
365.7,23173.88,258.91,1.12,,365.7,23173.88,227.39,0.98,,365.7,23173.88,283.68,1.22,,365.7,23173.88,229.77,0.99,,365.7,23173.88,249.94,1.08,,
367.2,24305.09,221.70,0.91,,367.2,24305.09,230.30,0.95,,367.2,24305.09,294.88,1.21,,367.2,24305.09,215.36,0.89,,367.2,24305.09,240.56,0.99,,
368.7,24371.55,276.97,1.14,,368.7,24371.55,233.56,0.96,,368.7,24371.55,283.17,1.16,,368.7,24371.55,244.04,1.00,,368.7,24371.55,259.44,1.06,,
370.2,25374.25,259.99,1.02,,370.2,25374.25,241.84,0.95,,370.2,25374.25,300.29,1.18,,370.2,25374.25,246.03,0.97,,370.2,25374.25,262.04,1.03,,
371.6,26679.42,287.24,1.08,,371.6,26679.42,256.89,0.96,,371.6,26679.42,323.65,1.21,,371.6,26679.42,269.20,1.01,,371.6,26679.42,284.25,1.07,,
373.1,28862.13,290.94,1.01,,373.1,28862.13,278.46,0.96,,373.1,28862.13,349.13,1.21,,373.1,28862.13,278.66,0.97,,373.1,28862.13,299.30,1.04,,
374.6,29324.53,310.15,1.06,,374.6,29324.53,274.76,0.94,,374.6,29324.53,366.35,1.25,,374.6,29324.53,297.87,1.02,,374.6,29324.53,312.28,1.06,,
376.1,30401.47,322.92,1.06,,376.1,30401.47,304.28,1.00,,376.1,30401.47,368.46,1.21,,376.1,30401.47,294.15,0.97,,376.1,30401.47,322.45,1.06,,
