name= 20150911_001.sig,,,,,name= 20150911_002.sig,,,,,name= 20150911_003.sig,,,,,
instrument= HI: 9122002 (HR-1024i),,,,,instrument= HI: 9122002 (HR-1024i),,,,,instrument= HI: 9122002 (HR-1024i),,,,,
integration= 10.0  4.0  4.0  150.0  40.0  4.0,,,,,integration= 10.0  4.0  4.0  150.0  40.0  4.0,,,,,integration= 10.0  4.0  4.0  100.0  40.0  4.0,,,,,
scan method= Time-based  Time-based,,,,,scan method= Time-based  Time-based,,,,,scan method= Time-based  Time-based,,,,,
scan coadds= 500  740  740  33  116  740,,,,,scan coadds= 500  740  740  33  116  740,,,,,scan coadds= 500  740  740  50  116  740,,,,,
scan time= 5  5,,,,,scan time= 5  5,,,,,scan time= 5  5,,,,,
scan settings= AI  AI,,,,,scan settings= AI  AI,,,,,scan settings= AI  AI,,,,,
external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set1= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data set2= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic= FIBER1(2)  FIBER1(2),,,,,optic= FIBER1(2)  FIBER1(2),,,,,optic= FIBER1(2)  FIBER1(2),,,,,
temp= 29.1  -4.7  -10.3  29.3  -4.7  -10.3,,,,,temp= 29.1  -4.7  -10.3  29.3  -4.7  -10.3,,,,,temp= 29.1  -4.7  -10.3  29.3  -4.7  -10.3,,,,,
battery= 7.46  7.46,,,,,battery= 7.46  7.44,,,,,battery= 7.46  7.46,,,,,
error= 6  3,,,,,error= 6  3,,,,,error= 6  2,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time= 9/11/2015 10:31:56 AM  9/11/2015 10:33:11 AM,,,,,time= 9/11/2015 10:31:56 AM  9/11/2015 10:33:53 AM,,,,,time= 9/11/2015 10:31:56 AM  9/11/2015 10:34:13 AM,,,,,
longitude=                                   ,,,,,longitude=                                   ,,,,,longitude=                                   ,,,,,
latitude=                                   ,,,,,latitude=                                   ,,,,,latitude=                                   ,,,,,
gpstime=                                   ,,,,,gpstime=                                   ,,,,,gpstime=                                   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 48  50,,,,,memory slot= 48  51,,,,,memory slot= 48  52,,,,,
factors= 1.015  1.042  1.000 [Overlap: Remove @ 990 1900  Matching Type: None],,,,,factors= 1.015  1.035  1.000 [Overlap: Remove @ 990 1900  Matching Type: None],,,,,factors= 1.015  1.038  1.000 [Overlap: Remove @ 990 1900  Matching Type: None],,,,,
,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: 20150911_001.sig:20150911_002.sig:20150911_003.sig
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
334.3,9400.50,1128.06,12.00,,334.3,9400.50,940.05,10.00,,334.3,9400.50,1159.40,12.33,,334.3,9400.50,1075.84,11.44,,
335.8,10147.85,1309.40,12.90,,335.8,10147.85,1200.28,11.83,,335.8,10147.85,949.32,9.35,,335.8,10147.85,1153.00,11.36,,
337.3,10243.50,1365.80,13.33,,337.3,10243.50,1069.88,10.44,,337.3,10243.50,1297.51,12.67,,337.3,10243.50,1244.40,12.15,,
338.8,10664.00,1330.13,12.47,,338.8,10664.00,1238.40,11.61,,338.8,10664.00,1066.40,10.00,,338.8,10664.00,1211.64,11.36,,
340.3,11068.50,1402.01,12.67,,340.3,11068.50,1180.64,10.67,,340.3,11068.50,1254.43,11.33,,340.3,11068.50,1279.03,11.56,,
341.8,11793.95,1496.44,12.69,,341.8,11793.95,1344.26,11.40,,341.8,11793.95,1141.35,9.68,,341.8,11793.95,1327.35,11.25,,
343.3,12137.60,1466.63,12.08,,343.3,12137.60,1264.33,10.42,,343.3,12137.60,1327.55,10.94,,343.3,12137.60,1352.84,11.15,,
344.8,12102.40,1563.23,12.92,,344.8,12102.40,1361.52,11.25,,344.8,12102.40,1210.24,10.00,,344.8,12102.40,1378.33,11.39,,
346.3,12823.10,1508.60,11.76,,346.3,12823.10,1307.45,10.20,,346.3,12823.10,1320.03,10.29,,346.3,12823.10,1378.69,10.75,,
347.8,12790.75,1607.98,12.57,,347.8,12790.75,1364.35,10.67,,347.8,12790.75,1205.99,9.43,,347.8,12790.75,1392.77,10.89,,
349.3,13133.15,1514.45,11.53,,349.3,13133.15,1372.47,10.45,,349.3,13133.15,1313.32,10.00,,349.3,13133.15,1400.08,10.66,,
350.8,14030.00,1590.07,11.33,,350.8,14030.00,1356.23,9.67,,350.8,14030.00,1262.70,9.00,,350.8,14030.00,1403.00,10.00,,
352.3,14746.85,1600.43,10.85,,352.3,14746.85,1463.25,9.92,,352.3,14746.85,1303.21,8.84,,352.3,14746.85,1455.63,9.87,,
353.8,15134.00,1623.07,10.72,,353.8,15134.00,1447.60,9.57,,353.8,15134.00,1381.80,9.13,,353.8,15134.00,1484.16,9.81,,
355.3,16506.15,1682.98,10.20,,355.3,16506.15,1553.52,9.41,,355.3,16506.15,1456.43,8.82,,355.3,16506.15,1564.31,9.48,,
356.8,16886.80,1708.78,10.12,,356.8,16886.80,1507.75,8.93,,356.8,16886.80,1447.44,8.57,,356.8,16886.80,1554.66,9.21,,
358.2,18484.20,1740.84,9.42,,358.2,18484.20,1584.36,8.57,,358.2,18484.20,1467.00,7.94,,358.2,18484.20,1597.40,8.64,,
359.7,18581.00,1785.23,9.61,,359.7,18581.00,1530.20,8.24,,359.7,18581.00,1530.20,8.24,,359.7,18581.00,1615.21,8.69,,
361.2,20140.00,1855.00,9.21,,361.2,20140.00,1643.00,8.16,,361.2,20140.00,1537.00,7.63,,361.2,20140.00,1678.33,8.33,,
362.7,20339.15,1846.04,9.08,,362.7,20339.15,1633.67,8.03,,362.7,20339.15,1617.33,7.95,,362.7,20339.15,1699.01,8.35,,
364.2,22075.40,1967.59,8.91,,364.2,22075.40,1743.64,7.90,,364.2,22075.40,1703.65,7.72,,364.2,22075.40,1804.96,8.18,,
365.7,22760.35,2073.22,9.11,,365.7,22760.35,1802.80,7.92,,365.7,22760.35,1825.34,8.02,,365.7,22760.35,1900.45,8.35,,
367.2,23699.50,2125.77,8.97,,367.2,23699.50,1867.23,7.88,,367.2,23699.50,1831.33,7.73,,367.2,23699.50,1941.44,8.19,,
368.7,24000.40,2179.35,9.08,,368.7,24000.40,1931.07,8.05,,368.7,24000.40,1924.17,8.02,,368.7,24000.40,2011.53,8.38,,
370.2,24613.50,2246.15,9.13,,370.2,24613.50,2017.50,8.20,,370.2,24613.50,1916.63,7.79,,370.2,24613.50,2060.09,8.37,,
